year,month,avg_si,num,std
2021,1,0.42971388217149376,143,0.05566791317594036
2021,2,0.4584134657331434,143,0.05815917643249749
2021,3,0.3410945881454149,143,0.04975868491611861
2021,4,0.4392133915947263,143,0.05922708408773285
2021,5,0.5145332403656261,143,0.06252745118219258
2021,8,0.6674975235505384,143,0.02662201613383623
2021,11,0.43037765735437056,143,0.04062570278027969
2021,12,0.405000808222121,143,0.05086756964215741
2022,1,0.40539246004569796,143,0.052270633672481484
2022,2,0.3860504540558538,143,0.04378660813585011
2022,3,0.4441717769062528,143,0.04166420806845681
2022,4,0.4751601797774273,143,0.03861927822453357
2022,5,0.5421032468642085,143,0.028870624119254017
2022,6,0.6638264907501488,143,0.02281388721644235
2022,7,0.6129376810160099,143,0.028561079621389717
2022,8,0.6290797875212475,143,0.026387041525711787
2022,12,0.43410740994149094,143,0.04414812264195979
2023,1,0.41967353552238873,143,0.04712219109540766
2023,2,0.45956511414797546,143,0.058143172189820985
2023,4,0.5159979076027037,143,0.06444532201910409
2023,5,0.5916692116896363,143,0.0398945077484989
2023,7,0.6721666815340785,143,0.023167549357975124
2023,8,0.626553186927718,143,0.02697444307167614
2023,9,0.49824508368798465,143,0.03772338315949545
2023,10,0.48757721981802205,143,0.04000904107648071
2023,11,0.4221232978974038,143,0.05045501136956314
2023,12,0.41765265231176485,143,0.03896728402165872
2024,1,0.4281271555699594,143,0.03777694397003258
2024,2,0.43268144004620046,143,0.03801003725816833
2024,3,0.46452740541667,143,0.04053912393196064
2024,4,0.5320290160090092,143,0.04078162895193291
2024,5,0.5469031514688731,143,0.04232002154710387
2024,6,0.6367045954618195,143,0.03329342726168166
2024,7,0.6172900426031599,143,0.031374385987551184
2024,10,0.4313211925152524,143,0.03268869269896878
2024,11,0.4185160083721113,143,0.0371617155428825
2024,12,0.3842141128825446,143,0.03206242809509864
