year,month,avg_si,num,std
2021,1,-0.24654829051252483,143,0.010351040174026743
2021,2,-0.2887532802811908,143,0.012603356592743661
2021,3,-0.295171216143456,143,0.02401582612712069
2021,4,-0.25578644514856963,143,0.027035458528866203
2021,5,-0.25720315286391743,143,0.021111407525845904
2021,6,-0.34099141528092775,143,0.01897828640569205
2021,7,-0.26402646354654474,143,0.01342271031612662
2021,8,-0.3784297756947358,143,0.018342551170690048
2021,9,-0.42900030252696664,143,0.017347394064280174
2021,10,-0.4670156582261292,143,0.01473961694963105
2021,11,-0.35985157929221806,143,0.02396526318807734
2021,12,-0.2969976244867319,143,0.014562850334355532
2022,1,-0.2976265704856195,143,0.011749332397266296
2022,2,-0.32568745705210966,143,0.008697831822181009
2022,3,-0.28380072711106896,143,0.013925550510971798
2022,4,-0.2036702857100296,143,0.018104678702540383
2022,5,-0.406540869496473,143,0.05767122524582076
2022,6,-0.22969160136006286,143,0.012332497808116585
2022,7,-0.3786090332037736,143,0.016159051814800884
2022,8,-0.3646131534632607,143,0.013007011358753323
2022,9,-0.3417955848969676,143,0.014854945894834435
2022,10,-0.3957932776163665,143,0.0067812211171064014
2022,11,-0.32560657388761943,143,0.023665337017606543
2022,12,-0.34992167152528014,143,0.019978152433850416
2023,1,-0.3979000586058209,143,0.015270274867959337
2023,2,-0.36862289828708805,143,0.0105262626722207
2023,3,-0.2544467731508903,143,0.008027046704450183
2023,4,-0.30308110509368286,143,0.02016589920298208
2023,5,-0.24007515522242717,143,0.01310712840751815
2023,6,-0.3174717101651781,143,0.017840862528171686
2023,7,-0.42403414001083195,143,0.01824532771915994
2023,8,-0.38509787011659424,143,0.015180277862508518
2023,9,-0.5480295929453184,143,0.01748087783830684
2023,10,-0.424668063578331,143,0.013357649454691426
2023,11,-0.39005265647438786,143,0.019742435432298668
2023,12,-0.23233085269887993,143,0.01298288269012415
2024,1,-0.21401700507101096,143,0.008217240556540533
2024,2,-0.3836916200159018,143,0.011747467073002477
2024,3,-0.36735855328512507,143,0.007191915907810363
2024,4,-0.2508794401886341,143,0.00895869146563397
2024,5,-0.3509819364121578,143,0.009190537370365766
2024,6,-0.35778614170413264,143,0.008710289344712798
2024,7,-0.2900929409844406,143,0.021016351912036123
2024,8,-0.3154848023386403,143,0.040556126027173345
2024,9,-0.3542805025770633,143,0.0234857908264555
2024,10,-0.3753423884091442,143,0.01806228273628049
2024,11,-0.29616002021749277,143,0.00992944705499749
2024,12,-0.2941551324113264,143,0.006311034464728251
