year,month,avg_si,num,std
2021,1,0.09878288917585244,143,0.015990056147106666
2021,2,0.09620835324151251,143,0.027046167361707903
2021,3,0.0657088591828995,143,0.03443811566221331
2021,4,0.05384911904410643,143,0.02937181730454615
2021,5,-0.06678828562974305,143,0.02749185164412683
2021,6,0.006293553077274471,143,0.03855005657424945
2021,7,-0.14979386412477003,143,0.029181331505091588
2021,8,-0.21403599386113753,143,0.037495095408956194
2021,9,-0.29865858536832357,143,0.044466749731074444
2021,10,-0.24160890797343443,143,0.05404088144769391
2021,11,-0.16840859540407882,143,0.015500085306109095
2021,12,0.01092585781988879,143,0.015615711669307147
2022,1,0.11933006422900014,143,0.015879898761552623
2022,2,0.2013041646895964,143,0.022174436892410616
2022,3,0.12742362637420462,143,0.027022309630072235
2022,4,0.045659792359339556,143,0.02298168116147033
2022,5,-0.0560475901463527,143,0.10046255481746538
2022,6,-0.17374827675250315,143,0.039006268466012406
2022,7,-0.14166351383818893,143,0.05686241670151225
2022,8,-0.23916336581964195,143,0.039081302098043544
2022,9,-0.3082082440320618,143,0.03574153277810074
2022,10,-0.3340957359804151,143,0.021933456741331587
2022,11,-0.2208990182469479,143,0.025760866465880706
2022,12,-0.04176849906230646,143,0.03869668737084988
2023,1,0.02791269206192351,143,0.03186616684368111
2023,2,0.09084988531256748,143,0.03637829436447501
2023,3,0.03722007916407198,143,0.03395519338015167
2023,4,0.014344537516123593,143,0.05076446729272405
2023,5,-0.07918444740804301,143,0.02755882615119546
2023,6,-0.15673868931813426,143,0.03547382801804406
2023,7,-0.1927424396726761,143,0.06022061002506801
2023,8,-0.17825051521913649,143,0.049086714276605554
2023,9,-0.18355328656664677,143,0.07273400496894844
2023,10,-0.20616043576265347,143,0.04127206528566211
2023,11,-0.09685859198857903,143,0.03025204489824315
2023,12,0.01276208878684853,143,0.021139670931799515
2024,1,0.03737240152575525,143,0.014408445149129442
2024,2,0.24697733688810805,143,0.02660232582109994
2024,3,0.23094475223591188,143,0.03546880912419706
2024,4,0.1960914015128845,143,0.027035980582762218
2024,5,0.3025311934654752,143,0.04791978217868945
2024,6,0.19552920011474106,143,0.0422988070178541
2024,7,0.07195727395327459,143,0.04635609701905883
2024,8,-0.003716904661582891,143,0.05999099985571107
2024,9,-0.10501964486562651,143,0.03748163635713369
2024,10,0.014503539727224547,143,0.03881361917537687
2024,11,-0.015988361180469993,143,0.0186481572277761
2024,12,0.26110453604284767,143,0.024381845029323453
