year,month,avg_si,num,std
2021,1,-0.16944356267303642,143,0.01466421107349825
2021,2,-0.1843037284865895,143,0.019264089262912447
2021,3,-0.1684864931324734,143,0.022379741882334166
2021,4,-0.139571315171748,143,0.016712552549865874
2021,5,-0.15090325458805526,143,0.018444824883373664
2021,6,-0.20261723176846955,143,0.022151117440136273
2021,7,-0.13360470998767096,143,0.0091417573639306
2021,8,-0.14180974297034557,143,0.0129643795662979
2021,9,-0.17007257433178602,143,0.0135443135412791
2021,10,-0.22585531854056287,143,0.022637240596945583
2021,11,-0.22977204069245352,143,0.029869273280528096
2021,12,-0.2030252868391523,143,0.01920412747082097
2022,1,-0.1986733263795114,143,0.01808596657309624
2022,2,-0.22690158616191639,143,0.018182449602806947
2022,3,-0.17407382360197848,143,0.01315891415566753
2022,4,-0.14067808245319008,143,0.009702228474640492
2022,5,-0.18588267446544798,143,0.012783094358521882
2022,6,-0.09619017896424814,143,0.012134124657572245
2022,7,-0.1955121584583105,143,0.014143148795877787
2022,8,-0.1580872835576704,143,0.00770256574795524
2022,9,-0.11180181075753724,143,0.01843710838714734
2022,10,-0.18071798528958555,143,0.017048576686112243
2022,11,-0.18230930738049725,143,0.02362522627288803
2022,12,-0.21083116180362743,143,0.028025706749214348
2023,1,-0.23157669451183174,143,0.025025880164731888
2023,2,-0.232546867740867,143,0.02500145176258319
2023,3,-0.1714240026022391,143,0.01833131161696384
2023,4,-0.1586373181744339,143,0.014546676553240117
2023,5,-0.1264530725433022,143,0.011679043791300706
2023,6,-0.1626384147994128,143,0.01715731441205752
2023,7,-0.2135094487551118,143,0.022370710561447692
2023,8,-0.17392011171313485,143,0.014278891051230227
2023,9,-0.2430299042307172,143,0.02916325983924008
2023,10,-0.21694023925239464,143,0.027949164970554163
2023,11,-0.26964146445414866,143,0.027723989585750484
2023,12,-0.14572117863030268,143,0.014012108121604012
2024,1,-0.12508334734467377,143,0.01189910042481047
2024,2,-0.2238778388116488,143,0.017857544970188037
2024,3,-0.23523995552503088,143,0.014973473827377291
2024,4,-0.15735299324817723,143,0.016865055303494584
2024,5,-0.226935056466179,143,0.021140017167391563
2024,6,-0.2262115706393553,143,0.02134696383252975
2024,7,-0.172200522129387,143,0.012789559234168284
2024,8,-0.15129116464079803,143,0.01495460412708303
2024,9,-0.12812083084861034,143,0.010289264590425107
2024,10,-0.18578776358869847,143,0.014283834141573104
2024,11,-0.18039140389929917,143,0.01530685689317257
2024,12,-0.18989014287362244,143,0.01149421657634831
