year,month,avg_si,num,std
2021,1,0.40285208813995343,143,0.23553540938889664
2021,2,0.38132617375606037,143,0.07402625829769577
2021,3,0.5969440696699408,143,0.7302066388521878
2021,4,0.8589562891468415,143,4.253560852775471
2021,5,0.5932851718944637,143,2.7355300843651618
2021,6,1.3418429959514804,143,7.672478739306982
2021,7,0.8125478859370104,143,2.964179247182747
2021,8,1.406414272921387,143,26.442804111120928
2021,9,-3.0066141454629856,143,17.88970352371227
2021,10,0.5791120794766438,143,5.713650403645003
2021,11,0.6144667615722311,143,0.15702750630857448
2021,12,0.13978726664290886,143,0.8384153012987948
2022,1,0.026914635670955287,143,3.6327336963244528
2022,2,0.4678127768356043,143,0.09443010524755174
2022,3,0.831710505969518,143,4.674384783554682
2022,4,0.2975065280017819,143,0.07727345628453546
2022,5,1.6824459341270077,143,5.277288617186792
2022,6,0.12395063219551919,143,3.6816925388337145
2022,7,1.1452768198083192,143,1.268886681790589
2022,8,0.103102799037075,143,1.209040218136071
2022,9,1.7866529734027994,143,0.4398384106574871
2022,10,6.084320785515785,143,19.3646753191048
2022,11,0.03469392311557581,143,2.3209410855632577
2022,12,0.3545829090704473,143,0.09139684853555172
2023,1,0.6895216415924021,143,0.38648109960583177
2023,2,0.37064686694904286,143,0.08639154566027707
2023,3,0.3193896752600722,143,0.07332271386397769
2023,4,0.6815808550304173,143,6.936824822476799
2023,5,0.5454704552983313,143,0.5349259234223045
2023,6,-1.9550579861537163,143,26.292638032376246
2023,7,1.164041342889996,143,2.7734675101330946
2023,8,2.0798846627386163,143,20.275954833300254
2023,9,1.0488675411074835,143,0.1307579668917153
2023,10,-0.08525017688044267,143,0.7475671093983642
2023,11,0.018957635326523527,143,0.03253053296450178
2023,12,-0.017307102772205592,143,0.5645203200537536
2024,1,0.8011548104865189,143,5.70408454445003
2024,2,-0.06453244804165965,143,19.195588318186733
2024,3,0.4369495085171043,143,0.06782056849303161
2024,4,0.516349957592922,143,2.0081290495870774
2024,5,0.6644785041913996,143,0.10315668619485516
2024,6,0.5647293779823214,143,0.1196728792391547
2024,7,0.7721388095740571,143,0.14616102795373578
2024,8,-0.14465989061314055,143,2.929527522637802
2024,9,-2.7378326392331216,143,38.237910460269866
2024,10,0.7328756715267183,143,1.560930511553404
2024,11,-0.2751524654302625,143,6.2897707751780905
2024,12,2.8316809517031096,143,16.707631833797095
